# Rime user dictionary
#@/db_name	ryen.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	206684
#@/user_id	mac_didi
a 	啊	c=96 d=1 t=206266
biao chu lai 	標出來	c=1 d=1 t=66018
biao da 	表達	c=32 d=1 t=194931
biao da shi 	表達式	c=2 d=1 t=190847
biao dai 	錶帶	c=3 d=1 t=25952
biao dan 	表單	c=1 d=1 t=149302
biao de 	標得	c=1 d=1 t=193629
biao di 	表弟	c=1 d=1 t=139618
biao dian 	標點	c=2 d=1 t=62370
biao ge 	表格	c=18 d=1.45158 t=193868
biao hao 	標號	c=1 d=1 t=127048
biao ji 	標記	c=17 d=1 t=169515
biao ji chu 	標記處	c=1 d=1 t=80088
biao ji shang 	標記上	c=1 d=1 t=85577
biao ji wei 	標記爲	c=1 d=1 t=76596
biao ji yu yan 	標記語言	c=1 d=1 t=145767
biao jiao 	鰾膠	c=1 d=1 t=77236
biao ju 	鏢局	c=1 d=1 t=14328
biao li 	表裏	c=2 d=1 t=124995
biao liang 	標量	c=1 d=1 t=6268
biao mian 	表面	c=1 d=1 t=69355
biao ming 	表明	c=2 d=1 t=106578
biao pan 	錶盤	c=1 d=0.251579 t=4073
biao pei 	標配	c=1 d=1 t=186589
biao pin 	標品	c=1 d=1 t=202360
biao qian 	標籤	c=56 d=1 t=200039
biao qing 	表情	c=4 d=2.91693 t=203730
biao shi 	表示	c=27 d=1.70822 t=204306
biao shu 	表述	c=1 d=1 t=152212
biao ti 	標題	c=35 d=0.1 t=194819
biao ti lan 	標題欄	c=2 d=1.97045 t=59016
biao ti shang 	標題上	c=1 d=1 t=84170
biao ti zhong 	標題中	c=1 d=1 t=194820
biao tiao 	標調	c=1 d=1 t=28010
biao tou 	表頭	c=1 d=1 t=148662
biao xian 	表現	c=39 d=0.1 t=203840
biao xian chu 	表現出	c=1 d=1 t=184880
biao xian de 	表現的	c=1 d=1 t=203841
biao yan 	表演	c=2 d=1 t=100277
biao yang 	表揚	c=1 d=1 t=178696
biao zheng 	表徵	c=3 d=1.89137 t=164502
biao zhi 	標誌	c=10 d=1.00002 t=176853
biao zhong 	表中	c=1 d=0.060205 t=4073
biao zhu 	標註	c=6 d=1 t=191160
biao zhun 	標準	c=32 d=1 t=199345
biao zhun cha 	標準差	c=5 d=1.98511 t=204890
biao zhun hua 	標準化	c=5 d=1 t=182297
bie 	別	c=6 d=1 t=132670
bie ming 	別名	c=4 d=1.99005 t=174658
bie nie 	別捏	c=1 d=1 t=60120
bie niu 	彆扭	c=2 d=1 t=197870
bie ren 	別人	c=7 d=1 t=195753
bie ting 	別聽	c=1 d=1 t=42624
bie wang 	別忘	c=1 d=1 t=197359
bin 	斌	c=9 d=1 t=174798
bin 	濱	c=1 d=1 t=115520
bin 	賓	c=1 d=1 t=67355
bin guan 	賓館	c=2 d=1 t=131489
bin jiang 	濱江	c=3 d=2.93143 t=127733
bing 	並	c=39 d=1 t=203837
bing 	兵	c=3 d=1 t=133726
bing 	冰	c=12 d=0.250318 t=199097
bing 	炳	c=2 d=1 t=66131
bing 	病	c=3 d=1.28794 t=104120
bing 	餅	c=5 d=1 t=188808
bing bing 	冰冰	c=1 d=1 t=110046
bing bu 	並不	c=7 d=1 t=198220
bing bu hao 	並不好	c=2 d=1 t=108655
bing bu hui 	並不會	c=1 d=1 t=186629
bing bu neng 	並不能	c=2 d=1 t=79871
bing bu shi 	並不是	c=1 d=0.1 t=198113
bing bu shi wan neng 	並不是萬能	c=1 d=1 t=198114
bing bu xiang 	並不想	c=1 d=1 t=75044
bing bu zai 	並不在	c=0 d=0.1 t=89159
bing bu zai yu 	並不在於	c=1 d=1 t=89160
bing du 	病毒	c=6 d=1 t=114707
bing gei 	並給	c=1 d=1 t=74003
bing jiang 	並將	c=2 d=1 t=155491
bing lian 	並聯	c=1 d=1 t=194243
bing lie 	並列	c=2 d=1 t=183164
bing mei you 	並沒有	c=1 d=1 t=82729
bing qi lin 	冰淇淋	c=9 d=1 t=203640
bing qi ling 	冰欺凌	c=1 d=1 t=199098
bing qie 	並且	c=45 d=1 t=205687
bing ren 	病人	c=1 d=1 t=104068
bing shi 	並使	c=0 d=0.000129402 t=4073
bing shi yong 	並使用	c=1 d=0.00130051 t=4073
bing tang 	冰糖	c=1 d=1 t=69740
bing tu 	餅圖	c=2 d=1 t=133887
bing xing 	並行	c=24 d=1 t=190083
bing yuan ti 	病原體	c=1 d=1 t=129908
bing zai 	並在	c=1 d=1 t=178105
bo 	伯	c=8 d=0.14619 t=172215
bo 	剝	c=1 d=1 t=43724
bo 	博	c=21 d=1 t=198186
bo 	播	c=1 d=1 t=40713
bo 	波	c=29 d=1 t=202873
bo bo 	伯伯	c=2 d=1 t=91678
bo bo 	勃勃	c=1 d=1 t=91679
bo chang 	波長	c=2 d=1.98511 t=31540
bo da 	博大	c=3 d=1 t=148040
bo da jing shen 	博大精深	c=1 d=1 t=148041
bo dong 	波動	c=21 d=1 t=204144
bo fang 	播放	c=5 d=1 t=81027
bo fang liang 	播放量	c=2 d=1.00252 t=44109
bo fang qi 	播放器	c=1 d=1 t=116172
bo ke 	博客	c=96 d=0.1 t=190883
bo ke 	播客	c=19 d=1.02149 t=186591
bo ke de 	博客的	c=1 d=1 t=190884
bo ke shang 	博客上	c=2 d=1 t=177906
bo ke yi 	伯可以	c=1 d=1 t=172216
bo ke zhong 	博客中	c=1 d=0.168638 t=4073
bo lan hui 	博覽會	c=1 d=1 t=72496
bo li 	剝離	c=1 d=1 t=171829
bo luo 	菠蘿	c=2 d=1 t=145620
bo luo bao 	菠蘿包	c=2 d=1 t=145623
bo shi 	博士	c=14 d=1 t=205345
bo wen 	博文	c=5 d=1 t=92763
bo wu 	博物	c=2 d=1 t=79779
bo wu guan 	博物館	c=17 d=1 t=183329
bo xing 	波形	c=1 d=1 t=65292
bo xue 	剝削	c=2 d=1 t=147880
bo yi 	博弈	c=4 d=1.73345 t=179136
bo yi lun 	博弈論	c=2 d=1.96079 t=155097
bu 	不	c=440 d=1.49092 t=206139
bu 	布	c=1 d=1 t=168058
bu 	步	c=16 d=1.03633 t=199294
bu 	補	c=19 d=1 t=190526
bu 	部	c=28 d=1 t=202952
bu ai 	不愛	c=1 d=1 t=186471
bu an 	不按	c=1 d=1 t=51643
bu ba 	不把	c=2 d=1 t=97094
bu bao han 	不包含	c=2 d=1 t=70467
bu bao jing 	不報警	c=1 d=1 t=15332
bu bei 	不被	c=2 d=1 t=192563
bu bi 	不必	c=2 d=1 t=191952
bu bian 	不變	c=10 d=1 t=202846
bu biao shi 	不表示	c=1 d=1 t=12689
bu bu 	補補	c=2 d=1 t=89579
bu can yu 	不參與	c=1 d=1 t=90369
bu cha 	不查	c=1 d=1 t=142536
bu chang 	不暢	c=2 d=1.92312 t=119269
bu chang 	步長	c=1 d=1 t=194223
bu chang 	補償	c=2 d=1 t=138342
bu chao guo 	不超過	c=1 d=1 t=99879
bu che di 	不徹底	c=1 d=1 t=5189
bu cheng 	不成	c=1 d=1 t=30989
bu cheng gong 	不成功	c=4 d=1 t=162991
bu chi 	不吃	c=3 d=1 t=190484
bu chi 	不恥	c=2 d=1.94176 t=119468
bu chi xia wen 	不恥下問	c=2 d=1.97045 t=13806
bu chong 	補充	c=64 d=1.3904 t=204731
bu chong de 	補充的	c=1 d=1 t=202656
bu chong fen 	不充分	c=3 d=1 t=72969
bu chong hao 	補充好	c=1 d=1 t=177341
bu chong zai 	補充在	c=4 d=1.00141 t=200233
bu chu 	不出	c=16 d=1.00001 t=202140
bu chu lai 	不出來	c=8 d=1 t=201659
bu chu li 	不處理	c=2 d=1 t=167176
bu ci ji 	不刺激	c=2 d=1.89137 t=95957
bu cong 	不從	c=1 d=1 t=92588
bu cun zai 	不存在	c=3 d=1 t=104062
bu cuo 	不錯	c=92 d=1.97642 t=204805
bu cuo a 	不錯啊	c=1 d=1 t=31984
bu da 	不大	c=4 d=1 t=168690
bu da 	不打	c=10 d=1 t=175230
bu da 	布達	c=1 d=1 t=103124
bu dai 	不帶	c=11 d=1 t=142090
bu dai biao 	不代表	c=1 d=1 t=54088
bu dan dan 	不單單	c=1 d=1 t=95551
bu dan wu 	不耽誤	c=1 d=1 t=38396
bu dao 	不倒	c=1 d=1 t=84041
bu dao 	不到	c=46 d=1 t=201669
bu dao de 	不道德	c=1 d=1 t=200522
bu dao ru 	不導入	c=1 d=1 t=76750
bu de 	不得	c=4 d=1 t=158495
bu de liao 	不得了	c=1 d=1 t=187886
bu deng shi 	不等式	c=2 d=1 t=204270
bu deng yu 	不等於	c=3 d=1.83527 t=160303
bu dian 	不點	c=1 d=1 t=90741
bu ding 	不定	c=1 d=1 t=166843
bu ding shi 	不定時	c=2 d=1 t=145775
bu dong 	不動	c=2 d=1 t=167223
bu dong 	不懂	c=16 d=1 t=189219
bu dou 	不都	c=6 d=1 t=112149
bu dou shi 	不都是	c=2 d=1 t=158366
bu duan 	不斷	c=14 d=1.02004 t=183009
bu dui 	不對	c=23 d=1 t=194137
bu dui cheng 	不對稱	c=4 d=1 t=130043
bu dui jin 	不對勁	c=1 d=1 t=117835
bu dui ma 	不對嗎	c=1 d=1 t=102080
bu duo 	不多	c=39 d=1.00004 t=205412
bu er 	不貳	c=1 d=1 t=6099
bu er 	布爾	c=1 d=1 t=6100
bu fa song 	不發送	c=1 d=1 t=15120
bu fang 	不放	c=2 d=1 t=201010
bu fang bian 	不方便	c=4 d=1 t=182036
bu fang dao 	不放到	c=1 d=1 t=59866
bu fang jin 	不放進	c=2 d=1 t=172422
bu fang ru 	不放入	c=1 d=1 t=172439
bu fang zai 	不放在	c=1 d=1 t=132121
bu fei 	不菲	c=1 d=1 t=4961
bu fen 	部分	c=234 d=1.39252 t=204328
bu fen ceng 	部分層	c=1 d=1 t=201734
bu fen lei 	不分類	c=2 d=1.99501 t=187821
bu fu gai 	不覆蓋	c=1 d=1 t=67768
bu fu he 	不符合	c=5 d=1 t=124388
bu fu za 	不複雜	c=2 d=1 t=59369
bu gai 	不改	c=3 d=0.1 t=136583
bu gai bian 	不改變	c=1 d=1 t=195940
bu gai hao 	不改好	c=1 d=1 t=136584
bu gan 	不敢	c=4 d=1 t=181842
bu gan wen 	不敢問	c=1 d=1 t=12298
bu gan xin 	不甘心	c=2 d=1 t=142560
bu gan yan 	不敢言	c=2 d=1 t=35040
bu gao 	不搞	c=2 d=1 t=176960
bu gao 	不高	c=11 d=1 t=191141
bu gao ba 	不高吧	c=1 d=1 t=148146
bu gei 	不給	c=8 d=1 t=204997
bu gei ding 	不給定	c=1 d=1 t=138546
bu gei wo 	補給我	c=1 d=1 t=195486
bu gei wo men 	不給我們	c=1 d=1 t=189868
bu gen 	不跟	c=1 d=1 t=99444
bu gong 	不公	c=1 d=1 t=175733
bu gong kai 	不公開	c=1 d=1 t=198775
bu gong zheng 	不公正	c=0 d=0.1 t=10672
bu gou 	不夠	c=25 d=1 t=202396
bu guan 	不管	c=18 d=1 t=206419
bu guan cha 	不觀察	c=1 d=1 t=191408
bu guan shi 	不管是	c=1 d=1 t=177736
bu gui 	不貴	c=3 d=1 t=165612
bu guo 	不過	c=297 d=1.67007 t=206653
bu guo lai 	不過來	c=2 d=1 t=143051
bu guo lv 	不過濾	c=6 d=1.94554 t=174404
bu guo qu 	不過去	c=1 d=1 t=61822
bu guo you 	不過又	c=1 d=1 t=189518
bu han 	不含	c=1 d=1 t=38021
bu hao 	不好	c=50 d=1.0058 t=198756
bu hao chi 	不好吃	c=1 d=1 t=146509
bu hao hao 	不好好	c=1 d=1 t=65899
bu hao shuo 	不好說	c=1 d=1 t=69708
bu hao song 	不好送	c=1 d=1 t=117620
bu hao suan 	不好算	c=1 d=1 t=14875
bu hao ting 	不好聽	c=1 d=1 t=44469
bu hao yi si 	不好意思	c=4 d=1.0056 t=198817
bu hao yong 	不好用	c=1 d=1 t=52274
bu he 	不合	c=2 d=1 t=176519
bu he li 	不合理	c=3 d=1 t=195918
bu he shi 	不合適	c=2 d=1 t=133744
bu hua suan 	不划算	c=1 d=1 t=106144
bu huan 	不換	c=1 d=1 t=111530
bu hui 	不回	c=1 d=1 t=61529
bu hui 	不會	c=131 d=1.00966 t=205834
bu hui kai 	不會開	c=1 d=1 t=198377
bu hui pao 	不會跑	c=1 d=1 t=144635
bu hui qu 	不會去	c=1 d=1 t=106754
bu hui tou 	不迴頭	c=1 d=1 t=105283
bu huo 	捕獲	c=7 d=1 t=193323
bu ji 	不及	c=1 d=1 t=155276
bu ji 	不急	c=4 d=1 t=181031
bu ji 	不給	c=2 d=1 t=155274
bu ji de 	不記得	c=2 d=1 t=99592
bu ji li 	不吉利	c=1 d=1 t=156963
bu jia 	不佳	c=2 d=1 t=92986
bu jia 	不加	c=2 d=1 t=173924
bu jia shang 	不加上	c=1 d=1 t=16904
bu jian 	不減	c=4 d=1 t=184287
bu jian 	不見	c=1 d=1 t=115647
bu jian cha 	不檢查	c=1 d=1 t=205805
bu jian de 	不見得	c=1 d=1 t=191751
bu jiao 	補交	c=1 d=1 t=142295
bu jie 	不解	c=0 d=0.1 t=158881
bu jin 	不僅	c=3 d=1 t=206573
bu jin jin 	不僅僅	c=1 d=1 t=65352
bu jin ru 	不進入	c=1 d=1 t=72581
bu jiu 	不久	c=2 d=1 t=41707
bu jiu 	不就	c=2 d=1 t=201300
bu jiu shi 	不就是	c=6 d=1 t=139314
bu ju 	佈局	c=2 d=1 t=154570
bu ju ni 	不拘泥	c=1 d=1 t=106597
bu jue 	不覺	c=1 d=1 t=157295
bu jue de 	不覺得	c=2 d=1 t=171320
bu jun 	不均	c=1 d=1 t=133017
bu ka 	不卡	c=2 d=1 t=128979
bu kai 	不開	c=8 d=1 t=145747
bu kai hui 	不開會	c=1 d=1 t=75308
bu kan 	不看	c=5 d=1 t=168619
bu kao lv 	不考慮	c=9 d=1 t=127066
bu kao pu 	不靠譜	c=7 d=1 t=192665
bu kao yan 	不考驗	c=1 d=1 t=36738
bu ke 	不可	c=3 d=1 t=187375
bu ke bian 	不可變	c=1 d=1 t=139019
bu ke dao 	不可導	c=1 d=1 t=81183
bu ke kong 	不可控	c=1 d=1 t=134022
bu ke neng 	不可能	c=5 d=1 t=195590
bu ke yi 	不可以	c=5 d=1 t=126659
bu kui 	不愧	c=1 d=1 t=169684
bu kui 	不虧	c=2 d=1 t=134590
bu lai 	不來	c=5 d=1.01025 t=129902
bu li 	不利	c=1 d=1 t=134024
bu li 	不理	c=2 d=1 t=197943
bu lian xu 	不連續	c=8 d=2.54126 t=113690
bu liang 	不良	c=1 d=1 t=168559
bu liao 	不了	c=33 d=1 t=205627
bu liao jie 	不瞭解	c=2 d=1 t=80454
bu liu 	不留	c=1 d=1 t=133792
bu lun 	不論	c=7 d=1 t=162242
bu mai 	不買	c=2 d=1 t=148221
bu mai 	不賣	c=1 d=1 t=100817
bu man 	不滿	c=1 d=1 t=7929
bu mang 	不忙	c=1 d=1 t=152507
bu men 	部門	c=25 d=1 t=204386
bu ming bai 	不明白	c=2 d=1 t=203753
bu mou er he 	不謀而合	c=1 d=1 t=154110
bu na 	不拿	c=1 d=1 t=80417
bu na me 	不那麼	c=1 d=1 t=139774
bu neng 	不能	c=210 d=1.0013 t=205168
bu neng jia 	不能加	c=1 d=1 t=197508
bu neng yong 	不能用	c=1 d=1 t=178279
bu nu li 	不努力	c=1 d=1 t=16681
bu pa 	不怕	c=1 d=1 t=122583
bu pian yi 	不便宜	c=1 d=1 t=164367
bu pin che 	不拼車	c=1 d=1 t=140955
bu pin cheng 	不拼成	c=1 d=1 t=140956
bu ping heng 	不平衡	c=1 d=1 t=24190
bu ping jun 	不平均	c=1 d=1 t=22679
bu qi 	不起	c=8 d=1 t=188109
bu qi 	不齊	c=1 d=1 t=71574
bu qi 	補齊	c=1 d=1 t=24508
bu qi lai 	不起來	c=1 d=1 t=122111
bu qian 	不淺	c=1 d=1 t=20329
bu qiang da 	不強大	c=1 d=1 t=84784
bu qing 	不清	c=1 d=1 t=27440
bu qing chu 	不清楚	c=6 d=1 t=205936
bu qiu 	不求	c=1 d=1 t=99871
bu qu 	不去	c=17 d=1 t=205401
bu qu 	部曲	c=1 d=1 t=9677
bu quan 	不全	c=3 d=1 t=171489
bu quan 	補全	c=19 d=1 t=162724
bu que 	補缺	c=1 d=1 t=200053
bu que ding 	不確定	c=2 d=1 t=171532
bu que ding xing 	不確定性	c=1 d=1 t=101217
bu ran 	不然	c=32 d=1.01116 t=200911
bu rang 	不讓	c=9 d=1 t=199719
bu ren 	不忍	c=1 d=1 t=133126
bu ren shi 	不認識	c=4 d=1 t=183918
bu ren wei 	不認爲	c=0 d=0.1 t=185657
bu ren xin 	不忍心	c=1 d=1 t=48162
bu rong yi 	不容易	c=2 d=1 t=185222
bu ru 	不如	c=11 d=1 t=177459
bu shan 	不刪	c=1 d=1 t=4456
bu shan chang 	不擅長	c=1 d=1 t=82882
bu shan chu 	不刪除	c=1 d=1 t=73818
bu shan yu 	不善於	c=1 d=1 t=57857
bu shang 	不上	c=8 d=1 t=193473
bu shang 	補上	c=1 d=1 t=181507
bu shang qu 	不上去	c=2 d=1 t=146722
bu she 	捕蛇	c=1 d=1 t=179340
bu sheng xiao 	不生效	c=2 d=1 t=154240
bu shi 	不是	c=256 d=1.00014 t=206304
bu shi 	不適	c=2 d=1 t=186009
bu shi he 	不適合	c=9 d=1 t=184796
bu shi hen 	不是很	c=1 d=1 t=90091
bu shi hen hao 	不是很好	c=1 d=1 t=142253
bu shi shuo 	不是說	c=3 d=1 t=102242
bu shi ye yao 	不是也要	c=1 d=1 t=72722
bu shi yong 	不使用	c=2 d=1.44709 t=77739
bu shi yong 	不適用	c=9 d=1 t=188225
bu shou 	不受	c=4 d=1 t=103445
bu shou 	不收	c=1 d=1 t=27155
bu shu 	部署	c=33 d=1 t=205322
bu shu fu 	不舒服	c=1 d=1 t=186061
bu shu xi 	不熟悉	c=1 d=1 t=89229
bu shui 	不睡	c=2 d=1 t=181734
bu shui jiao 	不睡覺	c=2 d=1 t=180830
bu shun 	不順	c=1 d=1 t=171092
bu shuo 	不說	c=3 d=1 t=122627
bu si 	不死	c=5 d=1 t=199384
bu suan 	不算	c=3 d=1 t=133045
bu suan zi 	卜算子	c=1 d=1 t=116026
bu tai 	不太	c=121 d=1.17058 t=206158
bu tai da 	不太大	c=1 d=1 t=81915
bu tai dong 	不太懂	c=5 d=1 t=135315
bu tai duo 	不太多	c=1 d=1 t=186369
bu tai hao 	不太好	c=4 d=1.98096 t=193036
bu tai hao ba 	不太好吧	c=1 d=1 t=197992
bu tai hui 	不太會	c=1 d=1 t=22617
bu tai qing chu 	不太清楚	c=6 d=1 t=197221
bu tai que ding 	不太確定	c=1 d=1 t=205749
bu tai shi he 	不太適合	c=1 d=1 t=96149
bu tai shu xi 	不太熟悉	c=1 d=1 t=43223
bu tai xing 	不太性	c=1 d=1 t=95938
bu tai yi yang 	不太一樣	c=1 d=1 t=197956
bu tai you 	不太有	c=1 d=1 t=121400
bu tai yuan yi 	不太願意	c=1 d=1 t=191228
bu ti yan 	不體驗	c=1 d=1 t=82775
bu tie 	補貼	c=3 d=1 t=202195
bu ting 	不停	c=10 d=1.9684 t=160588
bu ting de 	不停的	c=2 d=1 t=189200
bu tong 	不同	c=209 d=1.00001 t=203794
bu tong ban ben 	不同版本	c=1 d=1 t=150424
bu tong bu 	不同步	c=3 d=1 t=195612
bu tong bu fen 	不同部分	c=1 d=1 t=141626
bu tong ceng 	不同層	c=1 d=1 t=95830
bu tong de 	不通的	c=11 d=1 t=203649
bu tong de ren 	不同的人	c=1 d=1 t=140148
bu tong dian 	不同點	c=1 d=1 t=137774
bu tong dong 	不同東	c=1 d=1 t=191450
bu tong guo 	不通過	c=1 d=1 t=146005
bu tong ruan jian 	不同軟件	c=1 d=1 t=189786
bu tong shi jian 	不同時間	c=1 d=1 t=133013
bu tong yi 	不統一	c=2 d=1 t=124409
bu tong zu 	不同組	c=2 d=1.00159 t=187024
bu tou chu 	不透出	c=2 d=1.00181 t=179854
bu tui song 	不推送	c=1 d=1 t=155955
bu wan 	不完	c=1 d=1 t=81233
bu wan 	不玩	c=3 d=1 t=197665
bu wan bei 	不完備	c=1 d=1 t=15567
bu wan quan 	不完全	c=2 d=1 t=106790
bu wang 	不忘	c=2 d=1 t=50177
bu wei 	不爲	c=6 d=1 t=168717
bu wei yi 	不唯一	c=1 d=1 t=47650
bu wen ding 	不穩定	c=5 d=1 t=165136
bu xi huan 	不喜歡	c=3 d=1.04665 t=168405
bu xia 	不下	c=1 d=1 t=139476
bu xia lai 	不下來	c=3 d=1 t=112807
bu xia qu 	不下去	c=2 d=1.97531 t=50832
bu xia yu 	不下雨	c=1 d=1 t=180225
bu xian 	不限	c=2 d=1.99005 t=20154
bu xian zhi 	不限制	c=3 d=1 t=182378
bu xiang 	不像	c=4 d=1 t=186724
bu xiang 	不想	c=52 d=0.436216 t=204074
bu xiang 	不詳	c=1 d=1 t=170929
bu xiang gao 	不想搞	c=1 d=1 t=191646
bu xiang guan 	不相關	c=1 d=1 t=134207
bu xiang kan 	不想看	c=1 d=0.1 t=201142
bu xiang kan de 	不想看的	c=1 d=1 t=201143
bu xiang qu 	不想去	c=1 d=0.1 t=200095
bu xiang qu xie 	不想去寫	c=1 d=1 t=200096
bu xiang qu zuo 	不想去做	c=1 d=1 t=204075
bu xiang shui 	不想睡	c=1 d=1 t=178072
bu xiang tong 	不相同	c=3 d=1 t=89111
bu xiang xin 	不相信	c=2 d=1 t=183926
bu xiang zou 	不想走	c=1 d=1 t=198034
bu xiao 	不小	c=1 d=1 t=96633
bu xie 	不寫	c=3 d=1 t=202953
bu xin 	不信	c=3 d=1 t=166327
bu xing 	不行	c=44 d=1 t=203625
bu xu 	不需	c=1 d=1 t=148559
bu xu yao 	不需要	c=47 d=1 t=205804
bu xu yao qu 	不需要去	c=1 d=1 t=191030
bu xue 	不學	c=1 d=1 t=115798
bu xue xi 	不學習	c=1 d=1 t=22670
bu ya suo 	不壓縮	c=1 d=1 t=69907
bu yan su 	不嚴肅	c=1 d=1 t=136514
bu yan zhong 	不嚴重	c=2 d=1 t=166615
bu yao 	不要	c=157 d=1 t=204554
bu yao 	補藥	c=1 d=1 t=195858
bu yao pai 	不要拍	c=1 d=1 t=94166
bu yao qu 	不要去	c=1 d=1 t=62783
bu yao shan chu 	不要刪除	c=1 d=1 t=103072
bu yao wen 	不要問	c=1 d=1 t=151310
bu yao zuo 	不要做	c=1 d=1 t=195207
bu yi 	不一	c=3 d=1 t=140587
bu yi 	不以	c=1 d=1 t=192890
bu yi ding 	不一定	c=35 d=1.00237 t=205365
bu yi lai 	不依賴	c=1 d=1 t=33940
bu yi yang 	不一樣	c=48 d=1.95123 t=197520
bu yi zhi 	不一致	c=21 d=1 t=190111
bu yi zhi de 	不一致的	c=1 d=1 t=181538
bu yin 	不因	c=0 d=0.1 t=173582
bu yin gai 	不因改	c=1 d=1 t=173583
bu ying 	不應	c=1 d=1 t=19342
bu ying gai 	不應該	c=32 d=1 t=204530
bu ying xiang 	不影響	c=8 d=1 t=205810
bu yong 	不用	c=60 d=1.00007 t=195473
bu yong de 	不用的	c=1 d=1 t=158807
bu yong la 	不用啦	c=2 d=1 t=198010
bu you 	不由	c=2 d=1 t=97837
bu yu 	不語	c=1 d=1 t=190472
bu yuan 	不遠	c=1 d=1 t=26847
bu yuan yi 	不願意	c=1 d=1 t=88811
bu zai 	不再	c=8 d=1.48919 t=196630
bu zai 	不在	c=25 d=1 t=204736
bu zai hu 	不在乎	c=1 d=1 t=196991
bu zai shi 	不再是	c=3 d=1 t=186766
bu zao 	不早	c=2 d=1 t=162554
bu zen me 	不怎麼	c=1 d=1 t=104222
bu zhang 	部長	c=1 d=1 t=34607
bu zhao 	不着	c=2 d=1.47473 t=180717
bu zheng 	不正	c=1 d=1 t=48648
bu zheng chang 	不正常	c=3 d=1 t=189053
bu zheng shi 	不正式	c=1 d=1 t=107473
bu zhi 	不止	c=9 d=1 t=192353
bu zhi 	不知	c=4 d=1 t=157294
bu zhi 	佈置	c=4 d=1 t=194468
bu zhi bu jue 	不知不覺	c=1 d=1 t=165575
bu zhi chi 	不支持	c=15 d=1.12092 t=188140
bu zhi dao 	不知道	c=242 d=1.03666 t=206147
bu zhi de 	不值得	c=3 d=1 t=193475
bu zhi xing 	不執行	c=1 d=1 t=38216
bu zhi yu 	不至於	c=2 d=1 t=101521
bu zhong yao 	不重要	c=8 d=1 t=199305
bu zhou 	步驟	c=10 d=1 t=184940
bu zhu 	不住	c=13 d=1.86071 t=198302
bu zhu 	補助	c=1 d=1 t=48571
bu zhuan 	不轉	c=1 d=1 t=121693
bu zhuan qian 	不賺錢	c=1 d=1 t=97937
bu zhun 	不準	c=14 d=1 t=181155
bu zhun que 	不準確	c=2 d=1 t=137874
bu zhuo 	捕捉	c=8 d=1.00001 t=163620
bu zou 	不走	c=4 d=1 t=205734
bu zu 	不足	c=13 d=1 t=204072
bu zuo 	不做	c=7 d=1 t=164816
ca 	擦	c=3 d=1 t=39723
ca se 	擦色	c=3 d=1 t=107951
cai 	才	c=166 d=1.00619 t=205016
cai 	採	c=1 d=1 t=145636
cai 	猜	c=17 d=1.99005 t=192521
cai 	菜	c=16 d=0.98692 t=185636
cai 	蔡	c=6 d=1.37158 t=40617
cai 	裁	c=1 d=1 t=12802
cai 	財	c=7 d=1.956 t=198369
cai bao 	財報	c=1 d=1 t=90015
cai cai 	猜猜	c=1 d=0.752014 t=4073
cai ce 	猜測	c=8 d=1 t=184516
cai chu lai 	猜出來	c=1 d=1 t=81440
cai dan 	菜單	c=3 d=1 t=194416
cai dan lan 	菜單欄	c=1 d=1 t=67851
cai dao 	猜到	c=2 d=1 t=186093
cai fu 	財富	c=22 d=2.17574 t=187530
cai hong 	彩虹	c=9 d=1.42316 t=173943
cai hong qiao 	彩虹橋	c=17 d=2.87643 t=173787
cai hua 	才華	c=1 d=1 t=103309
cai hui 	纔會	c=11 d=1 t=191690
cai hui zou 	纔會走	c=1 d=1 t=90106
cai ji 	採集	c=10 d=1 t=177187
cai ji ka 	採集卡	c=4 d=2.98506 t=135630
cai jia 	菜價	c=1 d=1 t=148742
cai jian 	裁剪	c=1 d=1 t=120071
cai jing 	財經	c=45 d=0.100004 t=201003
cai jing da xue 	財經大學	c=2 d=1 t=201095
cai ke yi 	纔可以	c=1 d=1 t=110907
cai liao 	材料	c=13 d=1 t=202518
cai mei you 	纔沒有	c=1 d=1 t=4367
cai ming bai 	才明白	c=1 d=1 t=185259
cai na 	採納	c=1 d=1 t=134057
cai neng 	才能	c=58 d=1.00001 t=206287
cai neng xiu fu 	才能修復	c=1 d=1 t=166487
cai pan 	裁判	c=1 d=1 t=168274
cai piao 	彩票	c=1 d=1 t=94659
cai qu 	採取	c=9 d=1.81058 t=168521
cai qu dong zuo 	採取動作	c=1 d=1 t=148487
cai se 	彩色	c=3 d=1 t=171358
cai shi 	採石	c=1 d=1 t=154186
cai shi 	纔是	c=16 d=1 t=195793
cai shi zheng dao 	纔是正道	c=1 d=1 t=193442
cai shui 	才睡	c=1 d=1 t=173901
cai wu 	財務	c=13 d=1 t=186571
cai xiang 	猜想	c=1 d=1 t=57603
cai xiang qi lai 	才想起來	c=1 d=1 t=82912
cai xing 	才行	c=1 d=1 t=194939
cai yang 	採樣	c=57 d=1.956 t=206541
cai yong 	採用	c=13 d=1 t=193314
cai you 	纔有	c=8 d=1 t=182610
cai you ji hui 	才有機會	c=1 d=1 t=193207
cai yuan 	裁員	c=4 d=1.00051 t=174142
cai zhi dao 	才知道	c=1 d=1 t=150916
cai zhuang 	彩妝	c=1 d=1 t=54175
can 	參	c=7 d=1 t=152569
can 	慘	c=10 d=1 t=195226
